country,sector,n_origins,pct_tls13_support,pct_tls12_support,pct_tls11_support,pct_tls10_support,n_with_version,pct_tls13_neg,pct_tls12_neg,pct_other_neg,n_tls12_forced,pct_recommended,pct_sufficient,pct_phase_out,pct_insecure,pct_unknown
CA,Authorities,375,65.9,94.4,11.5,9.6,356,69.1,30.9,0.0,354,74.9,1.7,3.4,0.0,20.1
UK,Authorities,4,100.0,100.0,0.0,0.0,4,100.0,0.0,0.0,4,50.0,0.0,0.0,0.0,50.0
US,Authorities,373,83.9,99.5,3.2,2.9,371,84.6,15.4,0.0,370,85.1,0.0,1.1,0.0,13.8
CA,Education,103,77.7,100.0,6.8,3.9,103,77.7,22.3,0.0,102,80.4,1.0,0.0,0.0,18.6
UK,Education,417,81.5,95.7,8.9,8.4,402,84.6,15.4,0.0,399,67.7,0.8,0.8,0.0,30.8
US,Education,53,79.2,100.0,17.0,18.9,53,79.2,20.8,0.0,53,66.0,0.0,1.9,0.0,32.1
CA,Finance,177,94.4,97.7,3.4,2.3,175,95.4,4.6,0.0,173,89.6,0.6,0.6,0.0,9.2
UK,Finance,165,88.5,98.2,4.2,4.2,163,90.2,9.8,0.0,162,72.8,0.6,0.0,0.0,26.5
US,Finance,107,84.1,96.3,1.9,1.9,106,84.9,15.1,0.0,103,64.1,0.0,2.9,0.0,33.0
CA,Energy,214,84.1,95.3,6.1,5.6,208,86.5,13.5,0.0,204,68.1,1.0,1.0,0.0,29.9
US,Energy,141,78.7,98.6,2.8,2.8,139,79.9,20.1,0.0,139,71.2,0.0,2.2,0.0,26.6
