dataset_label,country,sector_code,sector_label,n_input_uris,n_final_uris,n_input_origins,n_final_origins,n_resolved_uris,pct_final_2xx,pct_final_4xx_5xx,pct_no_final,n_origins,pct_origins_all_unreachable
CA Authorities,CA,auth,Authorities,572,408,342,238,421,68.4,5.2,26.4,430,18.6
CA Education,CA,edu,Education,96,91,95,89,91,94.8,0.0,5.2,110,4.5
CA Finance,CA,fin,Finance,156,142,155,142,143,89.1,2.6,8.3,190,6.8
CA Energy,CA,energy,Energy,229,207,188,169,213,92.6,0.4,7.0,225,7.1
US Authorities,US,auth,Authorities,434,314,351,238,316,72.4,0.5,27.2,488,21.7
US Education,US,edu,Education,51,48,51,48,48,92.2,2.0,5.9,58,5.2
US Finance,US,fin,Finance,94,77,94,77,77,81.9,0.0,18.1,130,13.1
US Energy,US,energy,Energy,141,120,126,105,120,84.4,0.7,14.9,164,12.8
UK Authorities,UK,auth,Authorities,349,348,3,3,349,88.0,12.0,0.0,4,0.0
UK Education,UK,edu,Education,354,303,354,303,303,85.3,0.3,14.4,461,11.1
UK Finance,UK,fin,Finance,141,125,140,125,125,88.7,0.0,11.3,177,8.5
